letter	frequency
734218	2
734224	54
734233	2
734240	97
734242	52
734243	49
734244	15
734256	16
734259	18
734262	63
734263	3
734267	280
734268	164
734270	34
734272	2
734302	94
734303	1
734304	245
734305	484
734306	152
734308	244
734309	18
734312	11
734318	77
734319	19
734320	31
734323	291
734324	382
734325	318
734326	81
734331	352
734332	49
734333	103
734343	330
734345	475
734348	184
734350	307
734352	54
734357	1952
734358	58
734359	5
734360	18
734361	95
734366	233
734373	898
734392	195
734393	829
734394	661
734395	32
734394	16
734396	11
734397	59
734398	467
734399	53
734410	22
734413	72
734414	1018
734416	8
734417	7
734418	195
734419	135
734421	672
734422	853
734424	159
734427	48
734432	8
734433	1393
734434	1
734436	45
734441	146
734444	1882
734447	5
734450	1
734459	616
734462	19
734464	1080
734469	78
734476	191
734477	186
734480	519
734494	2
734495	71
734496	578
734495	30
734499	335
734500	7
734511	189
734513	35
734518	18
734523	213
734524	67
734525	25
734526	144
734527	97
734529	526
734532	292
734533	2
734535	36
734540	238
734541	479
734543	197
734544	42
734546	24
734548	1
734549	8
734552	545
734555	10
734556	6
734560	3
734564	996
734566	1124
734568	23
734571	349
734572	297
734574	2
734576	343
734585	688
734595	750
734596	35
734598	37
734599	47
734600	34
734604	48
734607	83
734608	11
734609	156
734610	1
734620	102
734637	227
734666	127
734667	1
734674	4
734675	14
734679	27
734680	6
734682	4
734684	123
734714	177
734735	25
734737	253
734739	6
734742	6
734746	1
734747	1
734749	1
734750	28
734751	56
734752	124
734753	72
734754	60
734755	82
734756	245
734757	276
734758	25
734759	12
734760	920
734761	9
734762	180
734765	73
734766	360
734767	451
734769	275
734770	7
734771	1391
734772	126
734771	37
734772	41
734773	369
734774	18
734778	11
734783	20
734784	15
734791	2
734790	1
734798	8
734801	73
734802	10
734805	7
734807	49
734810	98
734812	9
734813	188
734814	285
734816	42
734820	205
734821	7
734825	706
734826	7
734829	4
734833	6
734834	62
734835	1
734836	1
734837	6
734842	9
734847	31
734849	41
734848	23
734849	74
734858	125
734875	58
734905	12
734920	56
734941	168
734943	4
734944	8
734945	440
734947	173
734948	42
734960	6
734961	177
734977	139
734978	33
734979	18
734980	18
734986	8
735000	17
735001	435
735123	64
735124	56
735125	1116
735129	1
735130	94
735132	351
735135	36
735136	37
735140	186
735141	14
735148	612
735161	112
735163	439
735162	34
735163	324
735164	242
735165	75
735166	43
735168	143
735170	296
735169	8
735171	3
735172	5
735173	46
735174	320
735173	2
735174	12
735176	23
735177	1080
735179	91
735183	80
735186	19
735189	18
735190	443
735191	737
735192	421
735191	91
735193	73
735194	282
735193	9
735194	92
735195	18
735198	50
735200	748
735205	25
735206	7
735211	32
735212	53
735218	94
735220	28
735221	5
735222	68
735225	10
735226	37
735227	89
735228	3
735229	1
735230	104
735229	12
735231	548
735233	244
735234	10
735235	27
735240	28
735241	16
735243	20
735245	237
735244	69
735245	85
735247	19
735250	50
735251	17
735254	193
735255	182
735258	310
735260	2
735271	109
735272	1
735274	9
735288	32
735289	618
735307	32
735319	106
735320	110
735321	44
735322	225
735323	150
735324	34
735325	17
735327	333
735329	19
735328	7
735329	16
735330	160
735331	40
735332	40
735333	72
735334	34
735336	10
735337	60
735338	7
735339	1278
735338	45
735339	734
735340	325
735342	322
735392	12
735395	234
735397	94
735400	124
735401	74
{"data": []}
